"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
SD,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,28,0,11,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,8,0,29,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,8,0,29,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,15,1,11,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,6,0,29,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_CABG,Rate of readmission for CABG,0,3,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,14,0,41,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,18,1,37,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,14,0,4,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,50,2,8,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,33,0,23,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,2,27,12,48
TN,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,11,54,12,27
TN,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,9,62,21,12
TN,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,75,0,5,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,4,19,0,37,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,23,0,37,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,61,3,13,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,40,0,48,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_CABG,Rate of readmission for CABG,0,20,0,2,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,75,1,28,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,73,3,27,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,49,1,17,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),9,84,1,4,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,4,87,1,12,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,13,116,29,111
TX,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,26,162,43,125
TX,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,20,194,59,93
TX,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,250,1,40,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,4,54,0,142,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,57,1,142,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,9,218,2,74,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,2,156,0,111,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_CABG,Rate of readmission for CABG,0,90,0,25,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,212,0,139,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,7,222,2,125,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,179,1,87,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),10,332,8,35,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,3,270,0,93,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,5,9,0,14
UT,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,11,15,0,18
UT,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,13,23,0,8
UT,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,35,0,5,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,6,1,25,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,7,0,25,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,33,1,9,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,14,0,14,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_CABG,Rate of readmission for CABG,0,8,0,1,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,12,0,31,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,25,1,18,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,34,0,3,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,38,5,4,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,36,0,8,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,8,33,7,32
VA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,8,56,16,1
VA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,4,60,16,3
VA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,72,2,1,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,32,1,32,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,33,2,32,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,63,2,7,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,47,0,32,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_CABG,Rate of readmission for CABG,0,18,0,5,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,77,0,5,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,76,3,1,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,57,1,14,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),4,71,5,3,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,79,0,3,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2018,06/30/2021,Not Available,Not Available,Not Available,Not Available
VI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2018,06/30/2021,Not Available,Not Available,Not Available,Not Available
VI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2018,06/30/2021,Not Available,Not Available,Not Available,Not Available
VI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),Not Available,Not Available,Not Available,Not Available,5,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,1,0,13
VT,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,10,4,1
VT,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,3,12,0,0
VT,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,9,0,2,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,7,0,5,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,8,0,5,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,8,0,4,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,2,0,13,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_CABG,Rate of readmission for CABG,0,1,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,14,0,1,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,14,0,1,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,12,0,1,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,13,0,0,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,15,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,5,29,3,38
WA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,9,47,7,25
WA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,20,46,5,18
WA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",1,55,0,7,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,32,0,32,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,31,0,32,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,51,1,8,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,37,0,38,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_CABG,Rate of readmission for CABG,0,16,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,57,0,32,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,60,2,25,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,50,0,12,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,66,15,7,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,69,2,18,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,6,28,5,65
WI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,18,76,6,24
WI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,24,67,8,25
WI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,89,0,15,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,56,0,58,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,56,0,58,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,72,0,32,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,39,0,65,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_CABG,Rate of readmission for CABG,0,21,0,7,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,70,0,53,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,99,0,24,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,78,0,27,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),3,116,6,2,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,98,0,25,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,14,4,29
WV,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,2,28,10,13
WV,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,10,23,13,6
WV,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,26,0,12,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,12,0,18,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,14,0,18,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,22,1,9,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,18,0,29,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_CABG,Rate of readmission for CABG,1,5,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,40,0,12,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,39,0,13,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,23,0,12,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),6,39,0,6,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,45,0,6,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,3,0,17
WY,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,5,13,0,9
WY,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,5,15,2,6
WY,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,17,0,3,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,8,0,10,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,9,0,10,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,13,0,8,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,4,0,17,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,READM_30_CABG,Rate of readmission for CABG,0,1,0,1,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,12,1,14,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,18,0,9,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,14,0,6,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,27,1,0,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,22,0,6,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
